Name,Website,Trust Center,Platform,Detection Method,Description
"Intangible","https://www.intangible.ai","https://www.intangible.ai/privacy","Vanta","CNAME","Intangible is a generative AI startup that makes creating and communicating in 3D dramatically simpler than current industry tools - a “Canva for 3D”

Intangible was founded by industry veterans in 3D — design luminary Charles Migos, and repeat tech founder Bharat Vasan, with a team of technologists from Apple, Pixar, Unity, EA, ILM, Spotify and NASA.

At the heart of Intangible’s approach is Intangible OS – a new technical approach to building an AI system that can understand human concepts for 3D, through a combination of LLMs, proprietary knowledge graphs, and a world model. 

The result is Intangible Studio – a 3D creative tool that is powerful and easy to use by creatives of all abilities in film, games, marketing and agencies. Intangible enables ultra-fast world creation in 3D, precision camera controls, high-quality visuals, and seamless collaboration — all at a fraction of the cost and complexity of industry standard tools.

Watch the demo: https://www.youtube.com/watch?v=JbVQ"
"k-ID","https://www.k-id.com","https://www.k-id.com/security","SafeBase","CNAME","k-ID is transforming the way kids and teens access age-appropriate game experiences while helping developers comply with complex global regulations in over 200 markets with a first-of-its-kind, comprehensive platform that makes online platforms safer, better, faster, and more empowering for young players."
"Layerpath","https://www.layerpath.com","https://www.layerpath.com/privacy","Vanta","CNAME","Layerpath is transforming the broken 'Book a Demo' process with AI Demo Agents that deliver instant, personalized product experiences 24/7.

Our AI-first platform combines three key components: a Demo Snippet Manager that creates problem-solution-benefit video snippets; a Product Info Repository that ingests docs, pricing, and support details; and AI Demo Agents that orchestrate perfect demos tailored to each prospect's industry, role, and pain points.

With 8,000+ signups and 1,000 active customers since our beta launch, we're already seeing dramatic results: 2x pipeline growth, 33% faster sales cycles, and 95% lower demo costs ($2 vs. $40-50 per demo).

Backed by a16z speedrun and Jason Calacanis, we're building the foundation for the next generation of enterprise revenue systems, starting with the critical moment when awareness becomes consideration."
"LIVE AWARE","https://www.liveaware.io","https://www.liveaware.io/trust","Vanta","CNAME","Live Aware transforms game development by eliminating feedback silos—automating the ingestion and analysis of data, and enabling teams to take action quickly. Every day, developer teams and their trusted communities use Live Aware to capture game sessions and capture their detailed and nuanced thoughts in real time as they explore new builds and features.

Live Aware’s AI automatically consolidates feedback by organizing, tagging, and surfacing actionable insights to help teams identify trending issues, surface critical bugs, and link them to real gameplay footage for immediate action. Integrating directly with the tools developers already use—like Jira, Unity, Unreal, and Discord—teams are now able to identify issues, prioritize fixes, and iterate faster without disrupting workflow."
"Metal","https://www.metal.so","https://www.metal.so/security","Vanta","CNAME","Metal provides an end-to-end operating system for fundraising. Equipped with industry data and the user's Company context, the platform brings efficiency and intelligence to key workflows involved in the fundraising process."
"Moona Health","https://www.moona.health/","https://www.moona.health/trust","Vanta","CNAME","Better sleep is now recognized as essential to maintain physical and mental health. Yet 1 in 3 Americans struggles to sleep. Wearables and pills don't work. CBT-I, is a drug-free, highly effective treatment that is now covered by insurance for 90% of Americans. 

Moona is building the largest virtual network of CBT-I therapists, accepting insurance. Our AI-powered platform automates insurance claims and scheduling and analyzes sleep data –  providing personalized session guidelines to therapists.

Partnering with leading health systems. Growing 40% MoM, without spending a dollar on ads.

Repeat healthtech founders with 1 exit; CTO from Polytechnique; Clinical Officer (PhD) led the VA’s insomnia program."
"nunu.ai","https://nunu.ai/","https://trust.nunu.ai","Vanta","CNAME","nunu.ai is building intelligent agents to test and play games. We infuse AI agents into the game development process, from QA all the way to player simulation. 

Our vision is to develop generally capable agents that can navigate and act in any given 3D environment, starting with applications in gaming and moving towards general 3D simulations and robotics."
"Spark Space","https://www.sparkspace.ai","https://www.sparkspace.ai/trust","Vanta","CNAME","Spark Space: The AI Writing Tutor That Truly Connects with Students
Students LOVE Spark Space because it feels like a real tutor who understands them—their interests, their struggles, and their passions. More than just an AI, it bonds with them like a friend, making writing feel personal, engaging, and even fun. With a gamified experience inspired by Duolingo and their favorite video games, students see instant progress, keeping them motivated and excited to improve. And most importantly, Spark Space helps them get better at writing, giving immediate feedback so they can build confidence and earn higher grades.

Teachers LOVE Spark Space because it makes students actually excited to write. The AI tutor provides powerful insights into student writing, helping teachers focus on what matters most. And with automated draft grading, it saves hours of time—allowing teachers to spend less time grading and more time inspiring their students."
"SuperGaming","https://www.supergaming.com/","https://www.supergaming.com/privacy","SafeBase","CNAME","Our Studios Vision has Always been Building Games that People Play for Years. 
We specialize in making realtime multiplayers shooters and have over 200 million installs. 
Our latest title Indus is currently launched in India with over 15 Million Pre Registrations and launches Globally in 2025."
"Talofa Games","https://www.talofagames.com","https://www.talofagames.com/trust","Vanta","CNAME","Talofa is building Roblox for Fitness. Our platform makes it simple for creators to develop fitness games for Gen Z. The flagship game on the platform, Run Legends, has over 400,000 downloads and has been featured multiple times on the Apple App Store and Google Play Store. Talofa’s team has been built up with game veterans from EA, 2K, and Riot Games and the CEO, Jenny Xu, has created mobile games with over 10M downloads."
"Unbound Technologies","https://www.unbound.io","https://www.unbound.io/privacy","Vanta","CNAME","We have developed a revolutionary 3D creation engine that allows anyone to craft their imagination. Unbound drops 20+ year-old architectural assumptions that make today's 3D tools too laborious beyond professional use. Designed with fundamentally new building blocks, Unbound offers unprecedented creator control and is engineered from the ground up for seamless human-AI collaboration.

Since launching in early access in January 2025, Unbound has been enthusiastically embraced by our growing community of over 3,600+ passionate creators. With an average session time of 2 hours, our users have validated that our fundamental paradigm shift enables an unprecedented simplicity in 3D creation tools.

While we see immediate opportunities from our community to monetize our creation tools, we are confident that we now have the foundation to build our dream of a ""YouTube for 3D"". This platform will enable billions of people to create, share, and remix games and interactive 3D content at web-scale."
